Recency,Frequency,Price_Sum,Price_Mean,Spend_90,Spend_90_flag,Labels,KNN_Predict_Prob,SVC_Predict_Prob,AB_Predict_Prob,RF_Predict_Prob,DT_Predict_Prob
-234.0,2,0.0,0.0,0.0,0.0,3,0.5,0.2427668746988779,6.608564528719907e-12,0.1726727202446917,0.1101352927420672
-38.0,124,22.50693548387096,2790.859999999999,1519.1400000000006,1.0,1,0.875,0.8675596854605497,0.9998786374825076,0.8599962329797924,0.8620492566928135
-157.0,28,53.11571428571428,1487.24,310.0,1.0,2,0.75,0.7346065830582942,0.9994306578488266,0.6620226069292499,0.35606839645997707
-219.0,17,19.67058823529412,334.40000000000003,0.0,0.0,3,0.125,0.37495176154890636,1.3633783688522702e-11,0.1726727202446917,0.1429763347459493
-171.0,48,12.524583333333338,601.1800000000002,944.2299999999999,1.0,1,0.625,0.522435300286275,0.9995935424949857,0.659728275237168,0.4699112567543719
-113.0,4,22.25,89.0,0.0,0.0,0,0.375,0.346248288763068,3.0081982005923078e-06,0.438873311368576,0.5197404417551058
-141.0,58,18.610344827586207,1079.4,0.0,0.0,0,0.625,0.6864680460917562,6.757790236483396e-06,0.5647369782091769,0.682659064026354
-123.0,13,35.33846153846154,459.4,0.0,0.0,0,0.5,0.4852333436241055,8.413141352682322e-08,0.4194630363123185,0.5529562547303859
-154.0,57,48.29964912280703,2753.080000000001,58.349999999999994,1.0,1,0.875,0.8140450517987379,0.999709845766753,0.7473575872789014,0.6394714314255178
-59.0,12,40.404999999999994,484.85999999999996,683.2,1.0,1,0.625,0.540509763182452,0.9996052005812447,0.6572389505819141,0.49340625397091364
-98.0,145,23.86158620689656,3459.930000000001,2785.6,1.0,1,0.75,0.8337334341297837,0.9998557382994154,0.8358081031488348,0.874705257364464
-21.0,75,21.577066666666656,1618.2799999999993,1043.7799999999997,1.0,2,0.875,0.833121992509169,0.9971702509216591,0.8481219234493929,0.6403504183180388
-196.0,10,18.99,189.89999999999998,0.0,0.0,3,0.75,0.33482441536048685,7.806681267680475e-12,0.1726727202446917,0.14258568435116642
-21.0,110,15.677727272727276,1724.5500000000004,3430.030000000001,1.0,1,0.875,0.8480409860352413,0.9998786374825076,0.8590455189281504,0.8175403128517641
-18.0,23,24.0,552.0,0.0,0.0,2,0.625,0.6057908306657922,0.7432764345246308,0.6581944569203224,0.4445240231527764
-21.0,34,18.350588235294115,623.92,689.1799999999998,1.0,1,0.625,0.635496082193309,0.9997402465274935,0.6961367122422283,0.6050667936520642
-200.0,23,13.94304347826087,320.69,0.0,0.0,3,0.0,0.3864312421759,1.3633783688522702e-11,0.1726727202446917,0.16237957435835182
-183.0,139,20.18999999999999,2806.4099999999985,739.28,1.0,2,0.875,0.8195115329821481,0.9996510975623237,0.7711735572500278,0.6898675628914741
-121.0,39,23.459487179487176,914.9199999999998,383.12,1.0,2,0.75,0.6515065033888164,0.9987602846364311,0.708018171437299,0.3921171233046623
-220.0,14,26.042857142857144,364.6,0.0,0.0,3,0.25,0.3823943307200475,1.3666946602043852e-11,0.1726727202446917,0.13908854570680912
-7.0,11,20.93636363636364,230.30000000000004,225.12,1.0,1,0.5,0.4823610524700134,0.9826633007577049,0.6595502839622945,0.5374452281978083
-224.0,77,21.14441558441558,1628.1199999999997,0.0,0.0,3,0.75,0.7359220643147535,1.2295281682965967e-11,0.31697881288354507,0.29699030576635616
-38.0,219,18.304200913242013,4008.6200000000013,0.0,0.0,4,0.875,0.8375971049921426,2.1846746876795847e-12,0.35784072254892907,0.8254819591059788
-64.0,21,21.80428571428571,457.88999999999993,392.40000000000003,1.0,2,0.875,0.5362282454316927,0.9923271525038682,0.6520087372095433,0.38270308640689743
-94.0,36,16.87638888888889,607.5500000000001,2113.0099999999998,1.0,1,0.75,0.57644609000347,0.999734101234612,0.693549566631841,0.5269530763251449
-9.0,66,18.59681818181818,1227.3899999999999,576.5699999999999,1.0,1,0.875,0.7913837971395147,0.9929673774426894,0.8421336836382932,0.7247696819628477
-93.0,100,18.393099999999997,1839.3099999999997,0.0,0.0,4,0.75,0.8252954232631787,1.2193694860908122e-12,0.325192891563239,0.3799506039918276
-30.0,14,20.90642857142857,292.69,273.46999999999997,1.0,1,0.625,0.49282422626922817,0.9996202277118137,0.6591082262847293,0.5227790082365583
-246.0,10,40.190000000000005,401.90000000000003,0.0,0.0,3,0.25,0.37244761074941407,1.136567934970772e-11,0.1726727202446917,0.1209575789258988
-57.0,70,23.83342857142858,1668.3400000000006,1112.3200000000002,1.0,1,0.75,0.8212003688550045,0.9998438345619798,0.8436522668393487,0.7103153273432554
-154.0,39,27.207692307692312,1061.1000000000001,521.5,1.0,2,0.75,0.665598795003188,0.9995293691791851,0.6985085605961068,0.3645107057257717
-126.0,21,18.146666666666665,381.08,891.4000000000001,1.0,2,0.5,0.4610437125561834,0.9992216529899207,0.5853234557104456,0.31411285489483975
-21.0,98,19.201734693877547,1881.7699999999995,1116.5100000000002,1.0,1,0.625,0.8551897398907683,0.9998786374825076,0.8590455189281504,0.8040663550080249
-44.0,70,17.35442857142857,1214.81,1195.09,1.0,1,0.875,0.7728531703395147,0.9998368018159879,0.8418571606801121,0.6998000691071096
-28.0,59,18.790677966101697,1108.65,0.0,0.0,4,0.75,0.7596077359023201,3.931535858023313e-12,0.3231260063588086,0.30936586178769393
-212.0,5,16.86,84.3,0.0,0.0,3,0.125,0.2810193531984989,7.806681267680475e-12,0.1726727202446917,0.12506585807752077
-232.0,11,20.509090909090908,225.6,0.0,0.0,3,0.375,0.3214920455715613,1.136567934970772e-11,0.1726727202446917,0.1255056409587663
-57.0,54,31.6738888888889,1710.3900000000006,0.0,0.0,4,0.75,0.8202646014578298,2.8319004995252173e-12,0.32823987080397105,0.30050202656829006
-31.0,52,28.590384615384615,1486.7,1794.0500000000004,1.0,1,0.875,0.8103415596695879,0.9998320084810471,0.8320486310948307,0.6856878058380989
-43.0,64,21.99,1407.36,300.76,1.0,2,0.75,0.7990559637684537,0.9969176401265109,0.8436874813180009,0.576195456823117
-7.0,89,23.629999999999995,2103.0699999999997,739.5000000000001,1.0,1,0.875,0.8671686125954602,0.9941529694435,0.8574263177335643,0.8077587893985577
-26.0,65,95.4173846153846,6202.129999999999,4854.800000000001,1.0,2,1.0,0.7684901001924952,0.9971916575802053,0.8465907126097997,0.8264870726232482
-210.0,28,24.32428571428571,681.0799999999999,0.0,0.0,3,0.625,0.5105886842110203,1.513102287899589e-11,0.2006804107073519,0.1751233565399121
-46.0,45,19.79422222222222,890.7399999999999,336.14,1.0,2,0.75,0.6970941979936707,0.9957638152632814,0.7828945510841452,0.4914776024611591
-145.0,30,16.665000000000003,499.9500000000001,194.2,1.0,2,0.125,0.5,0.9992540912289692,0.5872727939945761,0.32221197582716765
-126.0,18,31.244999999999997,562.41,0.0,0.0,0,0.375,0.5251794751174123,8.376582820881698e-08,0.41682710867837763,0.5694025304273516
-8.0,661,153.3063993948561,101335.52999999988,22389.92,1.0,1,1.0,0.7917293773485318,0.9948515422800996,0.8670868870632675,0.9999999999999909
-15.0,153,18.079542483660138,2766.170000000001,812.6299999999999,1.0,1,1.0,0.878320074933988,0.9944848704519014,0.8619134055431378,0.9035964796287239
-21.0,34,19.664117647058816,668.5799999999997,0.0,0.0,4,0.5,0.646648785822435,1.2154339035681246e-12,0.2098922001076226,0.24167875310117817
-23.0,37,16.9672972972973,627.7900000000001,178.48,1.0,1,0.625,0.6368788357005591,0.999745136229018,0.7064398522674001,0.6107693486121656
-4.0,39,20.60410256410256,803.5599999999998,0.0,0.0,2,0.5,0.6987322345520104,0.837258483635246,0.7788770280651582,0.5185604156594353
